student_id,hours_studied,sleep_hours,attendance_percent,previous_scores,exam_score
S001,8.0,8.8,72.1,45.0,30.2
S002,1.3,8.6,60.7,55.0,25.0
S003,4.0,8.2,73.7,86.0,35.8
S004,3.5,4.8,95.1,66.0,34.0
S005,9.1,6.4,89.8,71.0,40.3
S006,8.4,5.1,58.5,75.0,35.7
S007,10.8,6.0,54.2,88.0,37.9
S008,2.0,4.3,75.8,55.0,18.3
S009,5.6,5.9,81.6,84.0,34.7
S010,1.3,8.9,66.8,70.0,24.7
S011,3.4,5.3,90.9,81.0,29.3
S012,6.6,7.9,87.6,85.0,35.1
S013,1.3,6.3,83.6,71.0,31.2
S014,3.2,6.1,61.2,68.0,30.2
S015,8.1,8.8,60.0,90.0,41.1
S016,7.0,9.0,51.2,41.0,34.1
S017,3.4,6.8,62.2,45.0,28.9
S018,7.5,7.6,73.8,58.0,36.3
S019,9.9,4.8,92.5,54.0,35.6
S020,1.1,5.5,53.6,65.0,17.1
S021,9.9,8.8,70.7,84.0,46.0
S022,8.7,6.9,81.5,55.0,36.1
S023,4.7,6.7,59.7,59.0,29.6
S024,2.7,7.7,84.8,82.0,35.9
S025,11.5,4.3,74.7,77.0,39.2
S026,4.7,6.9,62.2,63.0,30.0
S027,2.0,6.5,82.8,70.0,29.0
S028,2.1,8.3,50.3,75.0,26.5
S029,10.3,4.8,87.5,73.0,37.2
S030,7.6,8.8,88.5,62.0,36.2
S031,9.9,4.4,55.3,67.0,34.5
S032,9.0,4.9,71.3,87.0,41.6
S033,6.9,7.0,58.8,75.0,38.1
S034,11.7,7.4,97.9,61.0,42.7
S035,5.2,5.2,75.9,62.0,32.0
S036,7.1,4.6,52.5,84.0,32.0
S037,10.1,8.5,62.5,69.0,44.7
S038,7.8,5.2,92.4,57.0,38.3
S039,10.5,7.0,72.8,59.0,39.8
S040,7.4,7.1,90.1,56.0,35.0
S041,8.8,6.1,83.4,54.0,34.2
S042,1.5,6.9,99.4,47.0,23.1
S043,3.5,6.6,79.8,86.0,37.2
S044,4.2,8.7,97.5,52.0,30.3
S045,1.9,5.0,94.6,60.0,26.1
S046,3.6,7.6,80.6,47.0,31.8
S047,2.1,5.2,86.0,87.0,31.6
S048,4.1,6.0,75.2,74.0,31.1
S049,8.0,7.4,91.5,88.0,41.2
S050,5.0,5.5,77.4,84.0,30.6
S051,5.1,5.6,94.9,51.0,28.8
S052,3.3,7.8,87.2,52.0,30.7
S053,3.9,4.4,73.7,53.0,26.9
S054,11.3,6.3,63.0,87.0,46.4
S055,8.1,9.0,62.4,70.0,34.4
S056,7.7,9.0,81.9,57.0,37.0
S057,2.9,4.4,88.3,86.0,35.2
S058,9.0,5.1,76.1,77.0,38.2
S059,2.8,5.3,81.3,88.0,33.0
S060,5.2,8.7,63.7,73.0,29.2
S061,11.9,8.4,53.9,78.0,48.6
S062,8.0,8.4,64.3,58.0,36.1
S063,7.1,5.8,63.6,46.0,27.1
S064,8.5,4.8,66.0,93.0,36.1
S065,10.3,8.2,77.0,52.0,39.5
S066,9.5,7.5,56.9,58.0,36.7
S067,3.5,7.1,61.6,54.0,21.7
S068,1.4,8.9,84.7,63.0,32.2
S069,4.5,7.3,85.3,51.0,33.5
S070,3.9,4.0,53.2,59.0,23.9
S071,3.3,8.1,70.4,40.0,20.8
S072,11.4,5.5,77.1,85.0,47.9
S073,10.6,7.3,70.8,74.0,41.9
S074,4.5,8.7,60.3,48.0,29.5
S075,8.2,4.7,71.0,57.0,33.5
S076,5.4,4.6,95.2,42.0,26.3
S077,11.1,4.5,79.2,43.0,39.9
S078,6.0,6.8,84.8,75.0,40.3
S079,3.9,5.4,92.8,58.0,26.5
S080,3.7,7.0,88.3,84.0,34.2
S081,7.2,7.6,69.0,48.0,30.8
S082,3.9,5.0,50.3,80.0,32.4
S083,7.4,7.2,67.6,95.0,39.8
S084,10.9,5.3,87.7,88.0,48.9
S085,5.4,6.4,92.7,71.0,38.0
S086,3.4,8.5,97.7,46.0,26.5
S087,12.0,8.2,71.0,95.0,51.3
S088,6.6,4.5,87.4,40.0,28.6
S089,2.0,6.1,77.3,76.0,32.1
S090,1.5,5.4,80.2,58.0,23.9
S091,2.2,4.0,61.0,70.0,27.3
S092,7.9,7.9,61.0,70.0,34.0
S093,9.7,7.2,71.8,68.0,37.5
S094,5.6,5.3,51.5,61.0,29.1
S095,1.7,7.7,66.8,51.0,28.1
S096,5.2,6.8,84.0,43.0,28.7
S097,12.0,6.1,70.2,56.0,36.9
S098,6.8,4.0,58.3,95.0,36.0
S099,11.7,4.4,73.4,70.0,39.9
S100,10.5,8.4,56.4,47.0,37.1
S101,1.1,8.5,81.1,92.0,31.4
S102,8.9,6.7,51.3,44.0,31.3
S103,8.5,8.2,69.7,65.0,35.7
